code,product,pcmaker,price,campaign,cpu,gpu,memory,image,afur,campaign1url
000-01-001,OMEN40ハイパフォーマンスエクストラモデル【S3】,OMEN,"305,800",,core-i7-12700K,RTX3080,32,https://www.omen.com/content/dam/sites/omen/worldwide/homepage/21C2_OMEN_by_HP_40L_Gaming_Desktop_PC_GT21_Hana_AirCooled_RTX3060Ti_aRGB_JackBlack_nonODD_CoreSet_FrontRight.png,https://click.linksynergy.com/link?id=InYMwEjyjDY&offerid=252926.1000010&type=2&murl=https%3A%2F%2Fjp.ext.hp.com%2Fgaming%2Fpersonal%2Fomen_40l%2F%3Fjumpid%3Dst_cn_p_af_kkc,
000-01-002,OMEN40Lハイパフォーマンスプラスモデル【S2】,OMEN,"289,300",SallNow Click!!,core-i7-12700K,RTX3070Ti,16,https://www.omen.com/content/dam/sites/omen/worldwide/homepage/21C2_OMEN_by_HP_40L_Gaming_Desktop_PC_GT21_Hana_AirCooled_RTX3060Ti_aRGB_JackBlack_nonODD_CoreSet_FrontRight.png,https://click.linksynergy.com/link?id=InYMwEjyjDY&offerid=252926.1000009&type=2&murl=https%3A%2F%2Fjp.ext.hp.com%2Fgaming%2Fpersonal%2Fomen_40l%2F%3Fjumpid%3Dst_cn_p_af_kkc,https://click.linksynergy.com/deeplink?id=InYMwEjyjDY&mid=35909&murl=https%3A%2F%2Fjp.ext.hp.com%2Fcampaign%2Fpersonal%2Fothers%2Fgaming_special_price%2F
000-01-003,OMEN25Lパフォーマンスプラスモデル【S2】,OMEN,"198,000",,core-i7-12700F,RTX3060Ti,16,https://www.omen.com/content/dam/sites/omen/worldwide/homepage/22C1_Lapras_25L_LiquidCooled_BlizzardL_800W_RTX3080_aRGB_JackBlack_nonODD_CoreSet_FrontRight.png,https://click.linksynergy.com/link?id=InYMwEjyjDY&offerid=252926.1000014&type=2&murl=https%3A%2F%2Fjp.ext.hp.com%2Fgaming%2Fpersonal%2Fomen_25l_intel%2F%3Fjumpid%3Dst_cn_p_af_kkc,
000-01-004,OMEN45Lエクストリームモデルv2【S4】,OMEN,"409,800",SallNow Click!!,core-i9-12900K,RTX3090,32,https://www.omen.com/content/dam/sites/omen/worldwide/homepage/omen-45l-intel.png,https://click.linksynergy.com/link?id=InYMwEjyjDY&offerid=252926.1000011&type=2&murl=https%3A%2F%2Fjp.ext.hp.com%2Fgaming%2Fpersonal%2Fomen_25l_intel%2F%3Fjumpid%3Dst_cn_p_af_kkc,https://click.linksynergy.com/deeplink?id=InYMwEjyjDY&mid=35909&murl=https%3A%2F%2Fjp.ext.hp.com%2Fcampaign%2Fpersonal%2Fothers%2Fgaming_special_price%2F
000-01-005,OMEN25Lパフォーマンスモデル【S1】,OMEN,"189,000",,core-i7-12700F,RTX3060,16,https://www.omen.com/content/dam/sites/omen/worldwide/homepage/22C1_Lapras_25L_LiquidCooled_BlizzardL_800W_RTX3080_aRGB_JackBlack_nonODD_CoreSet_FrontRight.png,https://click.linksynergy.com/link?id=InYMwEjyjDY&offerid=252926.1000008&type=2&murl=https%3A%2F%2Fjp.ext.hp.com%2Fgaming%2Fpersonal%2Fomen_40l%2F%3Fjumpid%3Dst_cn_p_af_kkc,
000-01-006,OMEN40Lハイパフォーマンスモデル【S1】,OMEN,"248,001",SallNow Click!!,core-i7-12700K,RTX3070,16,https://www.omen.com/content/dam/sites/omen/worldwide/homepage/21C2_OMEN_by_HP_40L_Gaming_Desktop_PC_GT21_Hana_AirCooled_RTX3060Ti_aRGB_JackBlack_nonODD_CoreSet_FrontRight.png,https://click.linksynergy.com/link?id=InYMwEjyjDY&offerid=252926.1000154&type=2&murl=https%3A%2F%2Fjp.ext.hp.com%2Fgaming%2Fpersonal%2Fomen_45l%2F%3Fjumpid%3Dst_cn_p_af_kkc,https://click.linksynergy.com/deeplink?id=InYMwEjyjDY&mid=35909&murl=https%3A%2F%2Fjp.ext.hp.com%2Fcampaign%2Fpersonal%2Fothers%2Fgaming_special_price%2F
000-01-007,OMEN45Lハイパフォーマンスモデルv2【S3】,OMEN,"349,800",SallNow Click!!,core-i7-12700K,RTX3080Ti,32,https://www.omen.com/content/dam/sites/omen/worldwide/homepage/omen-45l-intel.png,https://click.linksynergy.com/link?id=InYMwEjyjDY&offerid=252926.1000110&type=2&murl=https%3A%2F%2Fjp.ext.hp.com%2Fgaming%2Fpersonal%2Fomen_45l%2F%3Fjumpid%3Dst_cn_p_af_kkc,https://click.linksynergy.com/deeplink?id=InYMwEjyjDY&mid=35909&murl=https%3A%2F%2Fjp.ext.hp.com%2Fcampaign%2Fpersonal%2Fothers%2Fgaming_special_price%2F
000-02-001,AlienwareAuroraR13ゲーミングデスクトップ,Alienware,"433,980",,core-i9-12900KF,RTX3080Ti,16,"https://i.dell.com/is/image/DellContent//content/dam/ss2/product-images/dell-client-products/desktops/alienware-desktops/alienware-aurora-r13/media-gallery/mg-0009-alienware-aurora-r13-lunar-light-wh-clear-panel-cryo-cooled-cryo-cooled/desktop_alienware_aurora_r13_wh_clear_cryo_gallery_1.psd?fmt=png-alpha&pscan=auto&scl=1&wid=3666&hei=4013&qlt=100,1&resMode=sharp2&size=3666,4013&chrss=full&imwidth=5000",https://click.linksynergy.com/link?id=InYMwEjyjDY&offerid=39250.20476918342&type=2&murl=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Ftrackclk%2FN1153793.2372504AF_LINKSHARE%2FB23732657.265944707%3Bdc_trk_aid%3D461028128%3Bdc_trk_cid%3D127759547%3BVEN1%3D%3Bdc_lat%3D%3Bdc_rdid%3D%3Btag_for_child_directed_treatment%3D%3Btfua%3D%3Fhttps%3A%2F%2Fwww.dell.com%2Fja-jp%2Fshop%2Fgaming-and-games%2Falienware-aurora-r13-%25E3%2582%25B9%25E3%2583%2597%25E3%2583%25AC%25E3%2583%259E%25E3%2582%25B7%25E3%2583%25BC%2Fspd%2Falienware-aurora-r13-desktop%2Fcaaawar1304jp,
000-02-002,AlienwareAuroraR13ゲーミングデスクトップ,Alienware,"328,980",,core-i7-12700F,RTX3080,16,"https://i.dell.com/is/image/DellContent//content/dam/ss2/product-images/dell-client-products/desktops/alienware-desktops/alienware-aurora-r13/media-gallery/mg-0009-alienware-aurora-r13-lunar-light-wh-clear-panel-cryo-cooled-cryo-cooled/desktop_alienware_aurora_r13_wh_clear_cryo_gallery_1.psd?fmt=png-alpha&pscan=auto&scl=1&wid=3666&hei=4013&qlt=100,1&resMode=sharp2&size=3666,4013&chrss=full&imwidth=5000",https://click.linksynergy.com/link?id=InYMwEjyjDY&offerid=39250.20476918340&type=2&murl=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Ftrackclk%2FN1153793.2372504AF_LINKSHARE%2FB23732657.265944707%3Bdc_trk_aid%3D461028128%3Bdc_trk_cid%3D127759547%3BVEN1%3D%3Bdc_lat%3D%3Bdc_rdid%3D%3Btag_for_child_directed_treatment%3D%3Btfua%3D%3Fhttps%3A%2F%2Fwww.dell.com%2Fja-jp%2Fshop%2Fgaming-and-games%2Falienware-aurora-r13-%25E3%2583%2597%25E3%2583%25A9%25E3%2583%2581%25E3%2583%258A%2Fspd%2Falienware-aurora-r13-desktop%2Fcaaawar1303jp,
000-02-003,AlienwareAuroraR13ゲーミングデスクトップ,Alienware,"262,980",,core-i7-12700F,RTX3060,16,"https://i.dell.com/is/image/DellContent//content/dam/ss2/product-images/dell-client-products/desktops/alienware-desktops/alienware-aurora-r13/media-gallery/mg-0009-alienware-aurora-r13-lunar-light-wh-clear-panel-cryo-cooled-cryo-cooled/desktop_alienware_aurora_r13_wh_clear_cryo_gallery_1.psd?fmt=png-alpha&pscan=auto&scl=1&wid=3666&hei=4013&qlt=100,1&resMode=sharp2&size=3666,4013&chrss=full&imwidth=5000",https://click.linksynergy.com/link?id=InYMwEjyjDY&offerid=39250.20476918348&type=2&murl=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Ftrackclk%2FN1153793.2372504AF_LINKSHARE%2FB23732657.265944707%3Bdc_trk_aid%3D461028128%3Bdc_trk_cid%3D127759547%3BVEN1%3D%3Bdc_lat%3D%3Bdc_rdid%3D%3Btag_for_child_directed_treatment%3D%3Btfua%3D%3Fhttps%3A%2F%2Fwww.dell.com%2Fja-jp%2Fshop%2Fgaming-and-games%2Falienware-aurora-r13-%25E3%2582%25B9%25E3%2582%25BF%25E3%2583%25B3%25E3%2583%2580%25E3%2583%25BC%25E3%2583%2589%2Fspd%2Falienware-aurora-r13-desktop%2Fcaaawar1301jp,
